Il,Nufus,GSYH_Dolar,Issizlik_Orani,Sinema_Koltuk,Sinema_Seyirci,Tiyatro_Koltuk,Tiyatro_Seyirci,KB_Sinema_Koltuk,KB_Tiyatro_Koltuk,KB_Sinema_Seyirci,KB_Tiyatro_Seyirci
ZONGULDAK,586802,9937.24654822726,10.95429795316535,2674.0,208541.0,1413.0,10431.0,0.004556903350704326,0.002407967253008681,0.3553856326324723,0.017776013033357078
KÜTAHYA,571078,9887.45255954248,7.315068365158893,1202.0,161778.0,4094.0,15500.0,0.0021047912894560815,0.007168898118996004,0.28328529552880694,0.027141651403135823
ŞIRNAK,570826,7555.45156096194,13.11761068498197,902.0,48649.0,1131.0,1100.0,0.0015801662853478994,0.0019813393223153818,0.08522562041672944,0.0019270320553023163
ÇANAKKALE,568966,12923.2892913656,6.58855854973693,963.0,179461.0,4987.0,28033.0,0.0016925440184474994,0.008765022866041205,0.315416035404576,0.049270079407205354
OSMANİYE,561061,7878.24885614535,16.74410275117515,777.0,91926.0,961.0,1035.0,0.001384876154286254,0.0017128262345805535,0.1638431471800749,0.001844719201655435
ÇORUM,521335,7823.56737727463,8.052297379542821,1265.0,115464.0,418.0,25949.0,0.0024264628310011797,0.000801787718069955,0.2214775528211227,0.04977413755071115
AĞRI,499801,4706.04611797931,14.612780286957591,919.0,20578.0,710.0,2500.0,0.0018387318152624744,0.0014205653850232394,0.04117238660987073,0.00500199079233535
GİRESUN,455922,6694.81213352912,8.467360862467707,666.0,26832.0,320.0,4158.0,0.0014607761854001343,0.0007018744434354999,0.05885217208206667,0.009119981049390028
ISPARTA,446409,9848.73303072778,7.440721965225412,2252.0,170076.0,1384.0,4280.0,0.005044701159698841,0.003100295916973,0.38098694246755777,0.009587620321274885
AKSARAY,439474,10562.8073999086,7.285859888217153,962.0,114261.0,743.0,14502.0,0.0021889804630080504,0.001690657467791041,0.25999490299767447,0.032998539162726354
EDİRNE,421247,10676.0859342731,7.4600360996808845,2557.0,178757.0,2570.0,51878.0,0.006070072902596339,0.0061009336565008175,0.4243519835156096,0.12315339931204258
YOZGAT,413161,7266.43283231481,6.677867026959976,1981.0,79014.0,755.0,545.0,0.004794741033156566,0.0018273748006225176,0.19124263906806305,0.001319098366012281
DÜZCE,412344,11511.665225521,9.355608674429973,1314.0,159024.0,442.0,1520.0,0.003186659682207089,0.00107192053237103,0.3856585763343228,0.003686242554760103
MUŞ,392301,5633.60124121092,12.10923409272522,385.0,24328.0,3378.0,6157.0,0.0009813892903663259,0.008610735124305062,0.06201360689878435,0.015694581456585633
KASTAMONU,381991,9774.19740837917,4.900390834002864,1605.0,100039.0,3219.0,10402.0,0.004201669672845696,0.008426900110212021,0.26188836909770125,0.02723100806039933
KIRKLARELİ,379031,14313.7524435115,8.701564059491055,1099.0,91882.0,1535.0,19950.0,0.002899498985571101,0.004049800675934159,0.24241288971086797,0.052634217253997695
UŞAK,375310,9689.38582530318,8.569117206005055,923.0,137133.0,1570.0,14525.0,0.002459300311742293,0.0041832085476006505,0.3653859476166369,0.03870134022541366
NİĞDE,372708,8562.84445097032,9.343945803070229,824.0,43114.0,367.0,6764.0,0.002210846024233448,0.0009846850617641692,0.11567768870000107,0.018148255470770685
BİTLİS,359808,5550.17168715756,11.74858197324083,236.0,19063.0,1810.0,6670.0,0.0006559053717538243,0.005030460690145856,0.05298103432942013,0.01853766453219495
RİZE,346977,8027.33273153685,8.661451870098192,2167.0,109028.0,1860.0,15314.0,0.006245370730624797,0.005360585860157878,0.31422255653832964,0.0441354902486332
AMASYA,342378,8309.30569729053,8.879110814670256,518.0,43300.0,1864.0,6700.0,0.0015129476777129371,0.0054442750410365155,0.12646840626442118,0.019569014364240692
SİİRT,336453,6702.26984257949,7.971628024549695,731.0,26444.0,0.0,0.0,0.0021726660187306995,0.0,0.07859641614133327,0.0
BOLU,326409,13914.0481219853,8.53400592158851,1417.0,135008.0,2579.0,5378.0,0.004341179317972238,0.00790113017717036,0.41361604612617914,0.016476261377596817
NEVŞEHİR,317952,9114.38467738684,5.469948738060215,1650.0,106866.0,1529.0,4870.0,0.005189462560386473,0.004808901972624798,0.33610733695652173,0.015316777375201289
YALOVA,307882,14843.7839470845,10.66509032146538,1647.0,171841.0,808.0,6794.0,0.005349452062803282,0.0026243820684547976,0.5581391572095803,0.02206689575876472
BİNGÖL,283276,6164.53507243641,7.925805484435012,2192.0,50198.0,2475.0,5915.0,0.007738036402660303,0.008737062087857779,0.17720526977223627,0.020880695858456064
KIRIKKALE,283053,11190.7955357069,11.82871619061244,998.0,77313.0,342.0,8219.0,0.003525841450187774,0.0012082542845332854,0.2731396593570815,0.029036964808710736
HAKKARİ,282191,6860.81967064079,23.31963697098709,121.0,1474.0,238.0,3790.0,0.00042878759421810053,0.0008434003919331233,0.005223412511384133,0.013430619686666123
BURDUR,275826,10323.7153504497,5.06652527693641,434.0,17245.0,1634.0,12593.0,0.0015734557293366107,0.005924024566212032,0.06252129965993053,0.045655594468976816
KARS,272300,6545.47375312424,7.748505788520286,226.0,6223.0,1591.0,7990.0,0.0008299669482188763,0.005842820418655894,0.022853470437017995,0.02934263679764965
KARAMAN,262791,11952.2500711086,6.933769241614013,382.0,46894.0,1382.0,10043.0,0.00145362664627023,0.005258932002998581,0.17844598939841927,0.03821668169762282
KARABÜK,250478,8967.6538903561,11.798064880189528,1686.0,78474.0,1113.0,15160.0,0.006731130079288401,0.004443504020313161,0.3132969761815409,0.06052427758126462
KIRŞEHİR,244546,9139.65866278186,10.72300892022991,557.0,54547.0,750.0,10150.0,0.002277690086936609,0.003066907657455039,0.22305414932160003,0.04150548363089153
ERZİNCAN,241239,10549.8158334239,7.505718853490703,314.0,66864.0,255.0,60.0,0.001301613752336894,0.001057043015432828,0.2771691144466691,0.00024871600363125367
BİLECİK,228495,15014.2969502238,7.228126468608216,156.0,4220.0,0.0,0.0,0.0006827282872710563,0.0,0.01846867546335806,0.0
SİNOP,226957,7817.13005073795,4.824205796973399,500.0,8697.0,2494.0,10780.0,0.0022030604916349794,0.010988865732275277,0.038320034191498833,0.04749798419965015
IĞDIR,206857,6554.08814341587,13.99858009584099,318.0,9356.0,360.0,2900.0,0.0015372938793466017,0.0017403326935999264,0.045229313003669204,0.014019346698443853
BARTIN,206715,7829.77217514476,8.111926508417715,379.0,62148.0,773.0,6921.0,0.00183344217884527,0.0037394480323150233,0.3006458167041579,0.03348087947173645
ÇANKIRI,199981,10361.7000827671,5.173023135387968,316.0,25140.0,1966.0,2113.0,0.0015801501142608547,0.009830933938724178,0.1257119426345503,0.010566003770358184
ARTVİN,169280,9620.27628452589,10.31951929452898,235.0,15557.0,735.0,1400.0,0.0013882325141776938,0.004341918714555765,0.09190099243856333,0.0082703213610586
KİLİS,156739,8977.76665826597,10.72361888297974,239.0,13127.0,330.0,1300.0,0.0015248278986085147,0.0021054109060284934,0.08375069382859403,0.00829404296314255
GÜMÜŞHANE,142617,6416.05234226002,14.10380233327921,142.0,18835.0,315.0,1415.0,0.000995673727535988,0.0022087128462946214,0.1320670046347911,0.009921678341291712
ARDAHAN,91354,8916.82505467178,5.754972216474089,51.0,5030.0,1347.0,2280.0,0.0005582678372047201,0.0147448387591129,0.05506053374783808,0.024957856251505133
TUNCELİ,86612,10790.3093228967,6.963110176118308,87.0,3480.0,280.0,3070.0,0.0010044797487646054,0.003232808386828615,0.04017918995058421,0.03544543481272803
BAYBURT,83676,6606.29095194137,6.701356035359648,215.0,4441.0,150.0,1000.0,0.0025694344853960513,0.0017926287107414313,0.05307376069601798,0.011950858071609541
